x,y
930.168762207031,1329.97705078125
878.809448242188,1368.70422363281
822.717224121094,1411.20532226563
762.418029785156,1458.3515625
1037.17346191406,1327.630859375
991.506958007813,1366.93054199219
940.734069824219,1409.32067871094
884.850341796875,1456.306640625
1146,1325
1103.92663574219,1365.07836914063
1057.23693847656,1407.85656738281
1008.68280029297,1454.7841796875
1254.35583496094,1323.40026855469
1217.74719238281,1363.07067871094
1177.51428222656,1405.97583007813
1134.44482421875,1453.88903808594
1364.79992675781,1321.009765625
1332.73876953125,1360.81799316406
1297.72375488281,1404.10485839844
1259.31323242188,1452.58825683594
1475.896484375,1319.17639160156
1448.53979492188,1358.7900390625
1418.52563476563,1402.86877441406
1386.54370117188,1450.96020507813
1587.99829101563,1317.61987304688
1566.05529785156,1357.57641601563
1541.33325195313,1401.38073730469
1514.35363769531,1450.15014648438
1701.30456542969,1315.56958007813
1684.03881835938,1355.74060058594
1665.31494140625,1399.63757324219
1644.68481445313,1448.57495117188
1815.22631835938,1312.99572753906
1803.16662597656,1353.32971191406
1790.03503417969,1399.11352539063
1775.78466796875,1447.8037109375
1930.24780273438,1312.10656738281
1923.39819335938,1352.87622070313
1916.00622558594,1397.22619628906
1907.89978027344,1446.13391113281
2045.84167480469,1310.59533691406
2044.48999023438,1351.22119140625
2042.75708007813,1394.16296386719
2041.12109375,1443.86535644531
2162.16430664063,1307.87475585938
2166.021484375,1348.35961914063
2170.25122070313,1391.52380371094
2174.96215820313,1440.94262695313
2278.927734375,1305.24194335938
2288.10229492188,1346.03735351563
2298.27319335938,1388.72131347656
2309.359375,1437.970703125
2395.90478515625,1302.11401367188
2410.46997070313,1342.86865234375
2426.60766601563,1385.68249511719
2444.28857421875,1435.06018066406
2513.06176757813,1299.02673339844
2533.29760742188,1339.11755371094
2555.24682617188,1382.24645996094
2579.66284179688,1430.10327148438
2630.54125976563,1296.23010253906
2654.70825195313,1336.435546875
2684.57788085938,1380.51318359375
2716,1428
2750.2861328125,1293.65673828125
2780.0849609375,1333.26196289063
2814.65625,1377.29113769531
2851.98266601563,1425.4560546875
2868.86474609375,1290.39196777344
2905.26611328125,1330.61950683594
2945,1374
2989.27075195313,1422.28784179688
2986.10595703125,1287.34619140625
3030.19897460938,1327.66638183594
3076.08984375,1371.28430175781
3127,1420
